year,rank,o_fta,o_stl,o_to,d_3pa,d_pf,d_to,GP_x,awayW,awayL,confW,confL,min,num_playoff_appearances,total_first_round_won,total_semis_won,total_finals_won,total_finals_lost,mean_won,confID_WE,total_wins,total_losses,oRebounds,dRebounds,assists,steals,turnovers,W,L,playoff,year,tmID,confID_EA,confID_WE
2,3.0,650.0,332.0,458.0,418.0,600.0,524.0,32.0,8.0,8.0,13.0,8.0,6400.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,405.0,732.0,641.0,342.0,536.0,0.0,2.0,1,2,SAC,0.0,1.0
2,8.0,561.0,255.0,525.0,334.0,618.0,529.0,32.0,2.0,14.0,4.0,17.0,6475.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,192.5,450.5,349.5,212.0,429.0,0.0,0.0,0,2,SEA,0.0,1.0
2,5.0,790.0,214.0,544.0,448.0,702.0,437.0,32.0,6.0,10.0,13.0,8.0,6400.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,343.0,751.0,490.0,213.0,508.0,0.0,0.0,1,2,UTA,0.0,1.0
2,4.0,578.0,245.0,506.0,397.0,595.0,456.0,32.0,7.0,9.0,13.0,8.0,6400.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,304.0,596.0,352.0,220.0,426.0,0.0,0.0,0,2,WAS,1.0,0.0
3,6.0,552.5,219.5,485.0,396.0,587.5,436.5,32.0,5.0,11.0,10.0,11.0,6487.5,1.0,1.0,1.0,0.0,1.0,13.0,0.0,4.0,0.0,362.0,678.8333333333334,593.0,254.8333333333333,545.5,4.0,4.0,1,3,CHA,1.0,0.0
3,1.5,537.5,263.0,491.0,392.5,645.0,524.0,32.0,6.0,10.0,14.0,7.0,6462.5,2.0,1.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,322.0,615.5,426.5,260.0,410.5,0.0,0.0,0,3,CLE,1.0,0.0
3,6.0,620.5,242.5,514.0,356.0,631.5,513.0,32.0,5.0,11.0,8.5,12.5,6487.5,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,285.0,538.5,378.5,181.0,404.0,0.0,0.0,0,3,DET,1.0,0.0
3,3.0,586.5,267.5,438.0,437.0,604.5,456.5,32.0,10.5,5.5,15.0,6.0,6462.5,2.0,1.0,1.0,1.0,0.0,23.0,1.0,3.0,0.0,405.5,1004.0,684.0,454.5,616.5,6.0,2.0,1,3,HOU,0.0,1.0
3,6.5,580.0,256.5,504.5,362.5,614.0,471.0,32.0,3.5,12.5,7.0,14.0,6450.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,256.5,588.5,521.0,297.5,496.5,0.0,0.0,1,3,IND,1.0,0.0
3,1.0,643.5,276.0,452.0,508.0,620.5,469.0,32.0,12.5,3.5,18.0,3.0,6462.5,2.0,2.0,1.0,1.0,0.0,28.0,1.0,4.0,0.0,438.1666666666667,975.3333333333334,605.1666666666667,314.3333333333333,553.0,8.0,3.0,1,3,LAS,0.0,1.0
3,4.5,566.5,286.0,486.0,355.0,599.5,520.0,32.0,7.0,9.0,11.5,9.5,6525.0,1.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,357.0,667.0,467.1666666666666,285.8333333333333,462.3333333333333,0.0,0.0,0,3,MIA,1.0,0.0
3,6.0,659.5,223.5,502.0,476.5,713.0,508.5,32.0,6.5,9.5,7.0,14.0,6450.0,0.0,0.0,0.0,0.0,0.0,13.5,1.0,0.0,0.0,232.0,506.5,301.0,170.0,381.5,0.0,0.0,0,3,MIN,0.0,1.0
3,1.5,533.5,255.5,455.5,407.0,622.5,487.5,32.0,8.0,8.0,13.5,7.5,6412.5,2.0,2.0,1.0,0.0,1.0,20.5,0.0,3.0,0.5,340.0,788.5,652.0,333.0,543.0,7.0,6.0,1,3,NYL,1.0,0.0
3,4.0,566.5,287.5,509.0,444.0,618.5,523.0,32.0,4.0,12.0,11.0,10.0,6475.0,1.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,465.5,907.5,580.0,364.0,651.0,0.0,0.0,0,3,ORL,1.0,0.0
3,4.5,624.0,288.5,474.0,403.5,651.0,524.0,32.0,6.0,10.0,9.5,11.5,6437.5,1.0,0.0,0.0,0.0,0.0,16.5,1.0,0.0,0.0,269.5,610.5,414.5,230.0,472.5,0.0,0.0,0,3,PHO,0.0,1.0
3,7.0,654.5,254.5,546.5,428.5,686.0,502.5,32.0,4.5,11.5,4.5,16.5,6525.0,0.0,0.0,0.0,0.0,0.0,10.5,1.0,0.0,0.0,283.0,666.5,563.0,253.5,488.5,0.0,0.0,0,3,POR,0.0,1.0
3,2.5,634.0,304.0,476.0,409.0,608.0,502.5,32.0,8.0,8.0,13.0,8.0,6462.5,2.0,1.0,0.0,0.0,0.0,20.5,1.0,0.0,0.0,427.0,813.0,683.5,327.5,564.0,0.0,0.0,0,3,SAC,0.0,1.0
3,8.0,583.5,264.0,478.0,329.5,603.0,524.0,32.0,3.5,12.5,5.0,16.0,6512.5,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,294.5,657.5,454.5,274.5,470.5,0.0,0.0,1,3,SEA,0.0,1.0
3,4.0,732.5,208.0,518.5,438.5,673.5,413.5,32.0,8.0,8.0,12.0,9.0,6437.5,1.0,0.0,0.0,0.0,0.0,18.5,1.0,0.0,0.0,336.0,784.5,503.0,211.5,513.5,0.0,2.0,1,3,UTA,0.0,1.0
3,6.0,541.0,251.0,500.5,402.5,569.0,455.0,32.0,4.5,11.5,8.5,12.5,6450.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,319.5,639.5,388.0,236.5,420.0,0.0,2.0,1,3,WAS,1.0,0.0
4,3.0,595.5,229.0,441.0,370.5,589.5,435.5,32.0,7.0,9.0,13.5,7.5,6475.0,2.0,1.0,1.0,0.0,1.0,18.0,0.0,2.0,0.0,339.0,683.5,560.0,278.0,465.5,4.0,6.0,1,4,CHA,1.0,0.0
4,4.0,529.0,244.0,447.5,429.0,605.0,462.0,32.0,7.0,9.0,11.0,10.0,6487.5,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,262.5,573.6666666666666,430.3333333333333,199.83333333333331,381.1666666666667,1.0,2.0,1,4,CLE,1.0,0.0
4,7.5,596.5,213.0,519.5,393.5,614.0,463.0,32.0,3.0,13.0,6.5,14.5,6500.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,375.6666666666667,702.6666666666666,469.1666666666666,253.66666666666669,543.5,0.0,0.0,1,4,DET,1.0,0.0
4,3.0,562.0,255.5,445.5,472.5,583.5,448.5,32.0,9.0,7.0,14.5,6.5,6437.5,2.0,0.0,0.0,0.0,0.0,21.5,1.0,0.0,0.5,323.5,751.5,559.0,286.5,471.0,1.0,4.0,1,4,HOU,0.0,1.0
4,5.0,585.5,255.0,464.5,415.5,631.5,468.0,32.0,4.5,11.5,9.5,11.5,6450.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,388.8333333333333,762.6666666666666,558.6666666666666,325.0,476.6666666666667,0.0,0.0,0,4,IND,1.0,0.0
4,1.0,619.5,269.0,477.5,562.0,607.0,453.0,32.0,12.5,3.5,18.0,3.0,6475.0,2.0,2.0,2.0,2.0,0.0,26.5,1.0,6.0,0.0,494.5,1160.0,828.5,392.0,717.0,12.0,1.0,1,4,LAS,0.0,1.0
4,7.0,652.5,218.0,518.0,430.5,668.5,467.5,32.0,4.5,11.5,7.5,13.5,6475.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,243.5,535.5,362.0,203.0,397.0,0.0,0.0,1,4,MIN,0.0,1.0
4,1.5,533.5,263.0,447.5,414.0,598.5,487.0,32.0,8.0,8.0,12.0,9.0,6425.0,2.0,2.0,1.0,0.0,1.0,19.5,0.0,0.0,0.0,311.0,819.5,657.0,303.5,501.5,0.0,0.0,0,4,NYL,1.0,0.0
4,6.0,562.5,279.5,510.0,389.5,601.5,504.0,32.0,2.0,14.0,7.5,13.5,6425.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,311.0,586.5,439.0,300.0,476.5,0.0,0.0,0,4,PHO,0.0,1.0
4,4.0,635.5,261.5,475.0,426.5,624.5,488.5,32.0,6.0,10.0,10.5,10.5,6550.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,2.0,1.0,355.0,681.0,475.5,238.0,430.0,3.0,2.0,1,4,SAC,0.0,1.0
4,6.0,574.5,277.5,454.0,333.5,575.5,525.0,32.0,6.0,10.0,8.0,13.0,6500.0,1.0,0.0,0.0,0.0,0.0,13.5,1.0,0.0,0.0,327.5,671.5,566.6666666666666,303.6666666666667,486.1666666666667,0.0,0.0,0,4,SEA,0.0,1.0
4,5.5,491.0,239.0,475.0,427.0,556.5,447.5,32.0,5.0,11.0,8.0,13.0,6475.0,1.0,1.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,309.49999999999994,609.5,527.8333333333334,206.33333333333331,430.83333333333337,0.0,0.0,0,4,WAS,1.0,0.0
5,2.0,626.5,260.0,452.5,389.5,603.0,446.5,33.0,6.0,10.5,12.0,10.5,6650.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,370.5,755.0,565.5,279.0,492.5,0.0,0.0,0,5,CHA,1.0,0.0
5,3.0,646.0,270.0,434.0,536.0,669.0,476.0,34.0,8.0,9.0,11.0,13.0,6875.0,1.0,1.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,230.66666666666663,500.1666666666667,328.5,201.33333333333331,261.5,2.0,2.0,1,5,CON,1.0,0.0
5,4.5,766.5,232.0,574.5,494.0,705.5,470.0,33.0,7.0,9.5,12.0,10.5,6675.0,1.0,1.0,1.0,1.0,0.0,17.0,0.0,6.0,0.0,422.6666666666666,964.0,494.5,254.66666666666663,538.0,6.0,2.0,1,5,DET,1.0,0.0
5,2.0,592.5,245.5,452.5,494.5,620.0,447.0,33.0,8.0,8.5,15.0,7.5,6625.0,2.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,364.0,800.5,559.0,302.0,542.0,0.0,0.0,0,5,HOU,0.0,1.0
5,4.5,571.5,283.5,456.0,442.5,639.0,491.0,33.0,5.5,11.0,12.0,10.5,6650.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,392.0,716.5,490.0,284.0,435.5,0.0,0.0,0,5,IND,1.0,0.0
5,1.0,661.5,249.5,493.5,530.5,638.5,460.5,33.0,13.0,3.5,17.0,5.5,6687.5,2.0,2.0,2.0,1.0,1.0,24.5,1.0,5.0,0.5,369.5,1034.5,850.0,320.5,645.0,11.0,4.0,1,5,LAS,0.0,1.0
5,6.0,601.0,234.0,543.5,417.5,642.0,468.0,33.0,5.0,11.5,10.0,12.5,6662.5,1.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,182.0,448.1666666666667,518.3333333333334,193.16666666666663,424.1666666666667,1.0,2.0,1,5,MIN,0.0,1.0
5,3.5,552.0,261.5,464.0,450.5,605.5,479.0,33.0,6.5,10.0,11.0,11.5,6650.0,1.0,1.0,1.0,0.0,1.0,17.0,0.0,4.0,0.0,287.5,673.5,442.5,234.5,433.0,4.0,4.0,1,5,NYL,1.0,0.0
5,7.0,547.0,288.5,490.0,379.5,633.5,550.5,33.0,1.5,15.0,6.0,16.5,6662.5,0.0,0.0,0.0,0.0,0.0,9.5,1.0,0.0,0.0,371.25,686.0,339.5,254.75,428.75,0.0,0.0,0,5,PHO,0.0,1.0
5,4.5,639.5,272.0,458.5,460.0,636.5,536.0,33.0,5.5,11.0,10.5,12.0,6700.0,1.0,1.0,0.0,0.0,0.0,16.5,1.0,2.0,1.0,350.5,755.5,552.0,277.5,475.5,3.0,3.0,1,5,SAC,0.0,1.0
5,6.0,736.0,187.0,513.0,482.0,669.0,424.0,34.0,3.0,14.0,10.0,14.0,6825.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,518.3333333333333,1049.5,593.1666666666666,316.5,675.5,0.0,0.0,0,5,SAS,0.0,1.0
5,4.5,555.0,257.0,471.0,389.5,566.5,495.0,33.0,6.0,10.5,10.5,12.0,6650.0,1.0,0.0,0.0,0.0,0.0,17.5,1.0,0.0,0.0,366.3333333333333,753.8333333333334,538.1666666666666,266.16666666666663,475.0,0.0,2.0,1,5,SEA,0.0,1.0
5,5.0,492.5,217.0,458.5,464.0,567.5,454.5,33.0,7.0,9.5,9.5,13.0,6662.5,1.0,1.0,0.0,0.0,0.0,13.0,0.0,2.0,1.0,375.0,739.5,533.5,227.5,460.5,3.0,2.0,1,5,WAS,1.0,0.0
6,3.5,590.0,244.5,488.0,378.0,600.5,453.0,34.0,5.5,11.5,10.0,12.0,6875.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,449.5,890.5,727.5,346.0,633.5,0.0,0.0,0,6,CHA,1.0,0.0
6,2.0,618.0,284.5,448.0,460.0,648.0,484.0,34.0,8.0,9.0,12.5,9.5,6887.5,2.0,2.0,1.0,0.0,1.0,18.0,0.0,3.0,0.5,390.5,931.0,653.5,323.0,539.5,7.0,5.0,1,6,CON,1.0,0.0
6,2.0,837.0,270.0,560.5,537.0,751.0,496.5,34.0,10.5,6.5,14.5,7.5,6875.0,2.0,1.0,1.0,1.0,0.0,21.0,0.0,3.0,0.5,531.5,1170.1666666666663,868.0,391.33333333333337,788.6666666666667,7.0,4.0,1,6,DET,1.0,0.0
6,4.0,607.5,236.5,467.0,467.0,644.5,450.5,34.0,5.0,12.0,10.5,12.5,6837.5,1.0,0.0,0.0,0.0,0.0,16.5,1.0,0.0,1.0,443.5,1030.0,722.0,353.0,621.5,1.0,2.0,1,6,HOU,0.0,1.0
6,5.5,571.5,280.0,480.0,386.5,617.0,489.0,34.0,5.0,12.0,10.0,12.0,6862.5,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,345.0,608.5,414.5,231.5,384.5,0.0,0.0,1,6,IND,1.0,0.0
6,1.0,700.0,252.0,499.5,525.5,679.0,495.5,34.0,11.5,5.5,16.5,6.5,6937.5,2.0,1.0,1.0,0.0,1.0,24.5,1.0,2.0,1.0,384.5,1031.0,733.0,304.0,599.5,6.0,6.0,1,6,LAS,0.0,1.0
6,3.5,632.0,249.5,585.5,388.0,671.0,486.5,34.0,7.0,10.0,13.0,10.0,6850.0,2.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,266.5,601.6666666666667,487.5,206.8333333333333,508.6666666666666,0.0,0.0,0,6,MIN,0.0,1.0
6,4.0,534.0,235.5,488.0,441.5,601.5,455.0,34.0,6.0,11.0,10.5,11.5,6875.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,213.16666666666663,600.0,441.1666666666667,189.5,406.6666666666667,2.0,3.0,1,6,NYL,1.0,0.0
6,6.0,577.0,296.0,471.5,359.5,663.5,573.0,34.0,4.5,12.5,8.0,15.0,6875.0,0.0,0.0,0.0,0.0,0.0,12.5,1.0,0.0,0.0,361.0,710.3333333333334,495.6666666666666,280.5,461.8333333333333,0.0,0.0,0,6,PHO,0.0,1.0
6,3.5,615.0,305.5,473.0,462.5,643.0,584.5,34.0,7.5,9.5,12.5,10.5,6862.5,2.0,2.0,0.0,0.0,0.0,18.5,1.0,2.0,1.0,367.0,672.5,497.0,276.0,445.0,6.0,6.0,1,6,SAC,0.0,1.0
6,6.5,682.0,229.5,513.0,475.5,646.5,458.0,34.0,3.0,14.0,8.0,15.0,6850.0,0.0,0.0,0.0,0.0,0.0,10.5,1.0,0.0,0.0,191.5,485.0,394.5,186.5,370.0,0.0,0.0,0,6,SAS,0.0,1.0
6,3.5,621.5,267.0,482.0,414.0,624.0,493.0,34.0,6.0,11.0,12.0,11.0,6837.5,1.0,1.0,1.0,1.0,0.0,19.0,1.0,6.0,0.0,259.0,595.5,413.5,177.0,368.5,6.0,2.0,1,6,SEA,0.0,1.0
6,5.5,584.0,234.0,443.0,453.5,596.0,480.0,34.0,6.0,11.0,8.0,14.0,6862.5,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,371.0,745.5,488.5,275.5,475.0,0.0,0.0,0,6,WAS,1.0,0.0
7,5.5,607.0,247.0,507.0,344.0,624.5,485.5,34.0,3.5,13.5,6.0,14.0,6922.5,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,246.5,535.3333333333333,348.16666666666663,213.5,402.8333333333333,0.0,0.0,0,7,CHA,1.0,0.0
7,1.0,639.0,267.5,457.0,392.0,651.0,467.0,34.0,10.0,7.0,13.5,6.5,6850.0,2.0,2.0,2.0,1.0,1.0,22.0,0.0,4.0,1.0,354.5,853.5,621.5,296.5,508.5,10.0,6.0,1,7,CON,1.0,0.0
7,3.5,783.0,259.0,542.0,494.5,736.0,508.0,34.0,6.5,10.5,11.0,9.0,6887.5,2.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.5,420.1666666666667,844.5,562.6666666666667,297.8333333333333,573.8333333333333,1.0,4.0,1,7,DET,1.0,0.0
7,4.5,652.5,244.0,454.5,428.5,670.0,476.0,34.0,6.0,11.0,9.0,13.0,6862.5,1.0,1.0,0.0,0.0,0.0,16.0,1.0,2.0,0.0,308.0,746.5,561.8333333333334,250.3333333333333,460.0,2.0,3.0,1,7,HOU,0.0,1.0
7,4.0,587.5,298.5,481.5,359.5,623.5,512.0,34.0,6.0,11.0,11.0,9.0,6887.5,1.0,1.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,293.0,641.5,499.0,288.5,458.5,2.0,2.0,1,7,IND,1.0,0.0
7,2.5,676.0,263.0,510.5,515.0,679.0,533.5,34.0,8.0,9.0,14.0,8.0,6887.5,2.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.5,262.0,748.0,542.0,240.0,428.5,1.0,4.0,1,7,LAS,0.0,1.0
7,4.5,620.5,257.5,574.5,353.0,670.5,494.5,34.0,5.0,12.0,10.5,11.5,6850.0,1.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,177.16666666666669,388.8333333333333,272.8333333333333,128.66666666666666,312.0,0.0,0.0,0,7,MIN,0.0,1.0
7,2.5,541.5,211.5,484.0,407.0,589.5,420.5,34.0,7.5,9.5,9.5,10.5,6912.5,2.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,149.0,365.5,290.66666666666663,135.83333333333331,339.33333333333337,0.0,0.0,0,7,NYL,1.0,0.0
7,5.0,645.5,262.5,490.5,340.0,666.0,509.5,34.0,6.0,11.0,11.5,10.5,6812.5,0.0,0.0,0.0,0.0,0.0,16.5,1.0,0.0,0.0,258.0,567.1666666666666,517.6666666666666,226.16666666666663,412.8333333333333,0.0,0.0,0,7,PHO,0.0,1.0
7,2.5,662.5,309.0,492.5,417.0,684.5,607.5,34.0,9.0,8.0,14.5,7.5,6850.0,2.0,2.0,1.0,1.0,0.0,21.5,1.0,4.5,0.5,373.5,713.0,548.5,325.5,473.5,10.0,4.0,1,7,SAC,0.0,1.0
7,7.0,640.0,233.5,524.0,438.5,654.5,460.5,34.0,2.5,14.5,4.5,17.5,6837.5,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,135.5,397.5,450.5,153.0,376.0,0.0,0.0,0,7,SAS,0.0,1.0
7,2.0,682.0,251.5,507.5,405.0,684.5,482.5,34.0,6.5,10.5,13.0,9.0,6825.0,2.0,1.0,1.0,1.0,0.0,20.0,1.0,3.0,0.5,379.0,928.5,568.5,243.0,548.5,7.0,4.0,1,7,SEA,0.0,1.0
7,4.5,603.5,257.5,429.5,429.0,632.5,498.0,34.0,6.0,11.0,9.0,11.0,6875.0,1.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,1.0,262.0,567.0,460.0,228.0,384.0,1.0,2.0,1,7,WAS,1.0,0.0
8,7.0,643.0,277.0,527.0,536.0,584.0,535.0,34.0,2.0,15.0,4.0,16.0,6800.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,307.6666666666667,566.1666666666667,427.3333333333333,205.3333333333333,370.6666666666667,0.0,0.0,0,8,CHI,1.0,0.0
8,1.0,681.5,244.0,483.0,454.0,660.5,464.0,34.0,12.0,5.0,14.0,6.0,6812.5,2.0,2.0,1.0,1.0,0.0,26.0,0.0,3.0,1.0,289.33333333333337,774.5,549.5,227.0,431.1666666666667,8.0,5.0,1,8,CON,1.0,0.0
8,3.0,760.0,227.0,554.0,508.5,738.5,513.0,34.0,6.5,10.5,12.5,7.5,6875.0,2.0,1.0,1.0,1.0,0.0,19.5,0.0,3.5,0.0,412.6666666666666,851.0,611.5,262.0,576.1666666666667,7.0,5.0,1,8,DET,1.0,0.0
8,3.0,684.0,249.0,495.5,459.5,695.0,500.0,34.0,7.0,10.0,11.0,10.0,6900.0,2.0,1.0,0.0,0.0,0.0,18.5,1.0,0.0,0.0,351.5,827.0,500.5,275.5,515.0,0.0,0.0,0,8,HOU,0.0,1.0
8,2.5,635.5,345.0,502.5,405.5,664.5,587.5,34.0,8.0,9.0,13.0,7.0,6887.5,2.0,1.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,392.5,839.0,575.5,392.0,587.5,2.0,4.0,1,8,IND,1.0,0.0
8,2.5,678.0,280.0,513.0,544.5,645.0,550.0,34.0,8.0,9.0,13.5,7.5,6812.5,2.0,1.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,415.6666666666667,880.1666666666666,555.3333333333333,291.0,499.1666666666667,0.0,0.0,0,8,LAS,0.0,1.0
8,6.5,641.0,225.5,533.0,459.0,649.0,462.5,34.0,2.5,14.5,7.5,13.5,6837.5,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,157.66666666666666,437.3333333333333,359.66666666666663,130.16666666666666,345.3333333333333,0.0,0.0,0,8,MIN,0.0,1.0
8,4.0,601.0,233.0,519.0,429.5,629.0,448.0,34.0,6.0,11.0,8.0,12.0,6900.0,1.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,209.0,473.0,274.5,194.5,335.0,0.0,2.0,1,8,NYL,1.0,0.0
8,5.0,688.5,259.0,479.5,475.0,670.5,510.0,34.0,6.5,10.5,10.0,11.0,6850.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,341.5,751.5,617.0,291.0,532.5,0.0,0.0,1,8,PHO,0.0,1.0
8,1.5,731.0,317.0,521.0,441.5,705.0,627.5,34.0,8.5,8.5,13.5,7.5,6837.5,2.0,2.0,2.0,1.0,1.0,23.0,1.0,5.5,1.0,478.0,994.0,648.0,372.0,562.5,13.0,4.0,1,8,SAC,0.0,1.0
8,6.5,662.0,220.5,511.5,433.5,663.0,454.5,34.0,4.5,12.5,6.5,14.5,6800.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,288.0,710.5,515.0,252.0,453.5,0.0,0.0,1,8,SAS,0.0,1.0
8,3.0,700.0,216.5,543.0,451.5,687.0,461.5,34.0,7.5,9.5,11.5,9.5,6812.5,2.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,1.0,377.3333333333333,898.0,603.6666666666666,228.83333333333331,581.5,2.0,4.0,1,8,SEA,0.0,1.0
8,4.5,630.5,283.0,488.0,493.0,662.5,538.5,34.0,5.5,11.5,10.5,9.5,6875.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,375.0,826.0,621.5,329.5,544.5,0.0,0.0,0,8,WAS,1.0,0.0
9,6.5,683.0,269.5,518.5,508.5,633.5,550.5,34.0,5.0,12.0,5.0,15.0,6886.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,298.0,606.8333333333333,465.3333333333333,216.16666666666669,342.0,0.0,0.0,0,9,CHI,1.0,0.0
9,2.0,645.0,262.0,527.0,496.5,639.5,505.0,34.0,11.0,6.0,12.5,7.5,6875.0,2.0,1.0,0.0,0.0,0.0,22.0,0.0,1.0,1.0,241.0,617.5,539.0,207.0,436.0,4.0,4.0,1,9,CON,1.0,0.0
