year,tmID,rank,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP_x,homeW,homeL,awayW,awayL,confW,confL,min,attend,num_playoff_appearances,total_first_round_won,total_first_round_lost,total_semis_won,total_semis_lost,total_finals_won,total_finals_lost,mean_won,mean_lost,confID_EA,confID_WE,GP_y,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,height,weight,award_count,won,lost,post_wins,post_losses
3,MIN,6.0,0,720.5,1820.5,504.0,659.5,190.0,561.5,283.0,652.5,935.5,466.0,692.5,223.5,502.0,95.0,2135.0,753.5,1842.5,506.5,663.0,158.5,476.5,314.0,682.5,996.5,491.5,713.0,267.0,508.5,128.0,2172.0,32.0,7.0,9.0,6.5,9.5,7.0,14.0,6450.0,118622.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,18.5,0.0,1.0,230.0,112.5,476.55,1849.5,232.0,506.5,738.5,301.0,170.0,78.0,381.5,471.5,1572.0,609.5,597.0,469.0,483.0,161.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.3,175.8,0.0,13.5,18.5,0.0,0.0
3,PHO,4.5,0,785.0,1847.0,471.0,624.0,112.5,353.5,287.5,630.5,918.0,489.5,627.5,288.5,474.0,114.5,2153.5,779.0,1860.0,441.5,579.0,136.0,403.5,333.5,666.5,1000.0,505.0,651.0,253.5,524.0,109.0,2135.5,32.0,10.5,5.5,6.0,10.0,9.5,11.5,6437.5,149027.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.5,15.5,0.0,1.0,316.0,133.5,452.34615384615387,1884.5,265.0,599.5,864.5,403.5,227.5,111.0,465.0,566.5,1700.0,709.5,540.5,383.0,259.0,82.5,5.5,3.0,128.0,44.5,4.5,11.0,15.5,11.0,2.5,4.0,7.5,12.0,34.0,19.0,11.0,5.5,5.5,1.0,0.0,73.38461538461539,166.3846153846154,0.0,13.0,19.0,0.0,0.0
3,POR,7.0,0,747.0,1859.5,469.0,654.5,158.5,476.0,304.5,661.5,966.0,465.5,697.0,254.5,546.5,99.5,2121.5,789.5,1895.5,519.0,711.0,154.5,428.5,325.0,704.5,1029.5,494.0,686.0,285.0,502.5,137.0,2252.5,32.0,6.0,10.0,4.5,11.5,4.5,16.5,6525.0,135366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,21.5,0.0,1.0,297.5,171.0,534.0416666666666,1995.0,278.5,655.5,934.0,533.0,250.5,94.5,480.0,614.0,1678.5,699.0,641.0,461.5,383.5,135.5,5.5,5.5,172.5,41.0,4.5,11.0,15.5,30.0,3.0,2.0,8.5,12.0,38.0,12.5,11.0,9.0,23.5,7.0,0.0,71.41666666666667,169.41666666666666,0.0,10.5,21.5,0.0,0.0
3,SAC,2.5,0,856.5,1983.5,453.0,634.0,152.5,441.0,381.0,686.5,1067.5,562.5,579.5,304.0,476.0,157.5,2318.5,807.5,1960.5,412.5,561.0,130.0,409.0,331.5,646.5,978.0,499.5,608.0,243.5,502.5,129.5,2157.5,32.0,12.5,3.5,8.0,8.0,13.0,8.0,6462.5,130222.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,20.5,11.5,0.0,1.0,311.5,202.5,598.3333333333334,2518.5,394.0,741.0,1135.0,628.0,303.0,185.0,527.5,657.0,2143.0,932.5,703.5,508.5,417.0,145.0,31.5,17.5,697.0,254.5,33.0,72.0,105.0,55.5,24.5,11.5,36.5,60.5,219.5,86.5,73.5,60.0,53.5,21.5,0.5,72.33333333333333,166.08333333333334,0.0,14.0,6.0,3.0,2.0
3,SEA,8.0,1,678.0,1780.5,397.0,583.5,118.5,388.0,281.0,561.0,842.0,401.0,626.5,264.0,478.0,110.0,1871.5,765.5,1735.5,457.5,606.5,121.0,329.5,292.0,738.5,1030.5,499.0,603.0,256.0,524.0,125.0,2109.5,32.0,4.5,11.5,3.5,12.5,5.0,16.0,6512.5,118925.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,1.0,318.5,164.5,561.625,2052.5,293.5,649.0,942.5,453.5,274.5,145.0,468.0,653.0,1915.5,731.0,644.0,444.0,467.0,146.5,4.5,0.0,58.0,20.0,1.0,8.5,9.5,1.0,0.0,3.0,2.5,4.0,17.5,7.5,2.0,2.0,10.0,3.0,0.0,72.33333333333333,164.5,0.0,8.0,24.0,0.0,0.0
3,UTA,4.0,1,834.5,1872.5,558.0,732.5,83.0,253.0,321.5,753.5,1075.0,523.0,660.0,208.0,518.5,156.5,2310.0,824.5,1970.0,510.0,690.5,140.5,438.5,328.5,614.0,942.5,490.5,673.5,288.0,413.5,130.0,2299.5,32.0,10.5,5.5,8.0,8.0,12.0,9.0,6437.5,106974.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.5,13.5,0.0,1.0,260.0,171.0,724.3888888888889,2425.0,326.5,760.0,1086.5,487.5,204.5,154.5,500.5,604.0,2027.0,895.0,782.0,574.5,200.5,60.5,8.5,6.0,224.0,76.5,9.5,24.5,34.0,15.5,7.0,6.5,13.0,25.0,60.0,24.5,33.5,26.5,9.5,1.0,1.0,64.77777777777777,172.22222222222223,0.0,14.0,5.0,0.0,2.0
4,HOU,3.0,1,751.0,1843.0,434.0,562.0,123.5,383.5,323.5,706.0,1029.5,438.0,488.0,255.5,445.5,110.5,2059.5,722.5,1881.5,346.5,478.0,151.5,472.5,303.0,674.5,977.5,449.0,583.5,255.0,448.5,95.5,1943.0,32.0,12.5,3.5,9.0,7.0,14.5,6.5,6437.5,184881.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,21.5,10.5,0.0,1.0,247.5,174.5,799.3125,2392.0,293.0,686.0,979.0,505.5,265.0,106.0,438.5,447.0,2072.0,853.0,675.5,548.0,415.5,138.0,19.0,15.0,602.0,212.5,30.5,65.5,96.0,53.5,21.5,12.5,32.5,48.0,194.5,76.5,57.0,45.0,47.0,14.5,0.0,72.25,163.5,2.0,21.5,10.5,0.5,2.0
4,LAS,1.0,1,903.5,2016.5,462.5,619.5,177.0,475.5,339.5,784.5,1124.0,589.5,640.0,269.0,477.5,149.5,2446.5,787.5,2012.5,448.0,598.0,177.5,562.0,304.0,636.0,940.0,523.0,607.0,254.5,453.0,112.5,2200.5,32.0,14.0,2.0,12.5,3.5,18.0,3.0,6475.0,167428.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,26.5,5.5,0.0,1.0,372.5,228.0,662.7692307692307,3242.0,433.5,996.5,1430.0,696.0,335.0,200.5,628.0,889.0,2771.5,1195.5,810.5,609.0,673.0,242.0,52.0,30.5,1259.5,485.5,61.0,163.5,224.5,132.5,57.0,41.5,89.0,128.0,397.0,181.5,122.0,91.5,89.5,31.0,1.5,72.61538461538461,174.23076923076923,0.0,26.5,5.5,6.0,0.5
4,MIN,7.0,1,699.0,1792.5,471.0,652.5,171.0,526.0,308.5,671.5,980.0,451.5,656.0,218.0,518.0,114.5,2040.0,749.5,1867.0,484.0,618.5,147.0,430.5,315.0,650.0,965.0,503.0,668.5,266.0,467.5,121.5,2130.0,32.0,6.5,9.5,4.5,11.5,7.5,13.5,6475.0,130240.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,1.0,240.5,128.5,601.6111111111111,1944.5,241.5,532.5,774.0,360.0,200.5,79.0,393.0,493.0,1731.5,693.5,545.0,400.5,492.0,157.0,1.5,1.5,54.5,15.5,2.0,3.0,5.0,2.0,2.5,0.0,4.0,5.5,15.5,5.0,5.5,4.5,4.5,1.0,0.5,72.44444444444444,169.55555555555554,0.0,0.0,0.0,0.0,0.0
4,PHO,6.0,0,780.0,1891.5,417.0,562.5,100.5,320.5,296.0,634.0,930.0,470.5,624.0,279.5,510.0,116.0,2077.5,817.5,1881.0,449.0,596.0,146.0,389.5,321.0,695.0,1016.0,528.0,601.5,275.5,504.0,127.0,2230.0,32.0,10.0,6.0,2.0,14.0,7.5,13.5,6425.0,138388.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,0.0,1.0,361.5,100.0,437.2857142857143,1610.5,307.5,580.5,888.0,437.5,299.5,76.5,472.5,634.5,1523.0,602.5,466.5,320.5,280.0,85.0,5.5,0.0,35.5,10.0,3.5,6.0,9.5,1.5,0.5,0.0,4.0,0.5,12.5,4.0,3.0,1.0,3.0,1.0,0.0,71.35714285714286,156.71428571428572,0.0,0.0,0.0,0.0,0.0
4,SAC,4.0,1,808.5,1959.5,475.5,635.5,137.5,409.0,337.5,685.5,1023.0,529.0,631.5,261.5,475.0,133.5,2230.0,809.5,1973.5,465.0,629.5,132.5,426.5,347.5,692.5,1040.0,494.5,624.5,247.0,488.5,135.5,2216.5,32.0,11.0,5.0,6.0,10.0,10.5,10.5,6550.0,138891.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,15.0,0.0,1.0,239.5,138.5,633.0,2015.0,332.0,641.0,973.0,440.5,225.5,133.0,408.5,565.5,1749.5,740.0,613.0,450.5,243.5,84.5,17.5,10.0,396.5,144.0,23.0,40.0,63.0,35.0,12.5,8.0,21.5,34.0,128.5,48.0,47.0,38.0,25.5,10.0,0.0,72.44444444444444,161.44444444444446,0.0,14.0,12.0,1.5,1.0
4,SEA,6.0,0,741.5,1884.5,416.5,574.5,155.0,459.0,334.0,609.0,943.0,463.0,614.0,277.5,454.0,139.0,2054.5,768.0,1784.0,426.0,573.0,113.5,333.5,301.5,709.0,1010.5,490.0,575.5,241.0,525.0,126.0,2075.5,32.0,7.5,8.5,6.0,10.0,8.0,13.0,6500.0,103515.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.5,18.5,0.0,1.0,301.5,191.33333333333331,527.7948717948718,2411.333333333333,319.1666666666667,650.5,969.6666666666666,542.0,290.1666666666667,144.33333333333334,469.0,579.3333333333333,2106.333333333333,862.1666666666666,629.8333333333334,493.6666666666667,542.6666666666666,193.33333333333331,11.833333333333334,7.166666666666667,313.8333333333333,102.33333333333331,8.333333333333334,21.0,29.33333333333333,24.666666666666664,13.5,4.333333333333333,17.166666666666668,24.83333333333333,95.16666666666669,35.833333333333336,24.166666666666668,20.666666666666668,35.166666666666664,10.0,0.0,72.0,166.53846153846155,0.0,18.0,14.0,2.0,3.0
5,HOU,2.0,0,791.5,1847.0,463.0,592.5,112.0,338.0,282.5,733.0,1015.5,457.5,478.5,245.5,452.5,127.5,2158.0,764.5,1955.0,328.0,450.0,160.0,494.5,303.5,686.0,989.5,481.0,620.0,244.5,447.0,96.5,2017.0,33.0,14.0,2.5,8.0,8.5,15.0,7.5,6625.0,169425.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,11.0,0.0,1.0,336.5,172.0,548.4615384615385,2549.0,333.5,737.5,1071.0,519.5,280.5,131.5,510.0,573.5,2211.0,916.0,741.0,557.0,495.0,160.0,28.5,9.0,519.0,190.0,30.5,63.0,93.5,39.5,21.5,14.0,32.0,46.0,180.0,69.0,47.0,37.0,46.0,15.0,0.0,72.0,161.6153846153846,0.0,22.0,11.0,1.0,2.0
5,LAS,1.0,1,892.5,2071.0,506.5,661.5,184.0,521.5,332.5,813.5,1146.0,585.0,673.0,249.5,493.5,161.0,2475.5,831.0,2093.5,492.0,675.5,179.5,530.5,315.0,717.0,1032.0,540.0,638.5,258.0,460.5,119.0,2333.5,33.0,11.5,5.0,13.0,3.5,17.0,5.5,6687.5,172172.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,24.5,8.5,0.0,1.0,244.0,215.0,884.1875,2537.5,308.5,850.0,1158.5,680.0,255.5,186.0,548.5,678.0,2119.0,916.0,728.0,553.5,435.0,152.0,46.0,43.0,1570.0,601.5,61.0,184.5,245.5,170.0,65.0,38.5,96.5,150.0,486.0,224.5,152.5,119.0,96.0,33.5,2.0,72.0,171.875,2.0,24.5,8.5,5.5,2.0
5,MIN,6.0,1,801.0,1876.5,416.5,601.0,173.0,512.0,335.0,684.0,1019.0,523.0,625.5,234.0,543.5,101.5,2191.5,812.5,1937.0,471.0,623.0,141.0,417.5,319.5,632.0,951.5,511.5,642.0,272.0,468.0,121.5,2237.0,33.0,9.0,7.5,5.0,11.5,10.0,12.5,6662.5,130063.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,19.0,0.0,1.0,176.16666666666669,146.83333333333334,755.0555555555555,1438.1666666666667,175.0,421.33333333333337,596.3333333333334,477.0,178.16666666666666,65.16666666666667,394.5,443.83333333333337,1264.1666666666667,498.6666666666666,389.33333333333337,285.6666666666667,468.0,155.16666666666669,11.166666666666666,9.666666666666666,291.3333333333333,74.33333333333333,7.0,26.83333333333333,33.833333333333336,41.333333333333336,15.0,3.333333333333333,29.666666666666668,33.333333333333336,72.5,22.333333333333336,22.0,20.0,33.5,9.666666666666666,0.0,72.16666666666667,168.16666666666666,0.0,18.0,16.0,1.0,2.0
5,PHO,7.0,0,797.0,1992.0,392.0,547.0,108.0,338.5,324.5,634.5,959.0,444.0,643.5,288.5,490.0,102.5,2094.0,842.0,1868.5,451.0,617.0,145.5,379.5,306.0,751.5,1057.5,520.5,633.5,271.5,550.5,136.5,2280.5,33.0,8.0,8.5,1.5,15.0,6.0,16.5,6662.5,142154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,23.5,0.0,1.0,263.75,173.25,719.8888888888889,2142.5,370.25,678.5,1048.75,332.5,251.25,109.25,423.25,623.25,1922.25,791.0,611.0,437.0,361.5,123.5,3.0,3.0,99.0,34.5,1.0,7.5,8.5,7.0,3.5,0.5,5.5,7.0,31.5,13.0,8.5,6.5,8.0,2.0,0.0,73.44444444444444,172.33333333333334,0.0,0.0,0.0,0.0,0.0
5,SAC,4.5,1,821.0,2026.0,459.5,639.5,131.0,434.0,325.0,683.0,1008.0,534.0,658.0,272.0,458.5,115.5,2232.5,815.5,1967.5,475.0,639.0,149.0,460.0,348.5,737.0,1085.5,504.5,636.5,228.5,536.0,134.5,2255.0,33.0,11.0,5.5,5.5,11.0,10.5,12.0,6700.0,149878.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,16.5,16.5,0.0,1.0,285.5,149.0,637.6,2243.5,324.0,675.0,999.0,502.0,265.0,117.5,432.5,612.5,1973.0,823.5,646.0,461.0,413.5,135.5,34.0,15.0,687.0,207.0,26.5,80.5,107.0,50.0,12.5,11.5,43.0,60.0,196.0,76.0,53.0,41.0,48.5,14.0,0.0,72.4,163.8,0.0,12.0,4.0,3.0,3.0
5,SAS,6.0,0,792.0,2068.0,538.0,736.0,93.0,315.0,350.0,795.0,1145.0,428.0,728.0,187.0,513.0,167.0,2215.0,867.0,2176.0,544.0,745.0,149.0,482.0,389.0,783.0,1172.0,530.0,669.0,275.0,424.0,140.0,2427.0,34.0,9.0,8.0,3.0,14.0,10.0,14.0,6825.0,176526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,0.0,1.0,336.6666666666667,220.16666666666663,671.3472222222223,3055.333333333333,500.3333333333333,985.0,1485.3333333333333,561.0,302.6666666666667,197.66666666666663,633.5,751.5,2656.1666666666665,1119.8333333333333,1028.6666666666667,763.8333333333334,234.33333333333331,51.833333333333336,16.166666666666668,12.5,473.1666666666667,178.16666666666666,18.0,64.5,82.5,32.166666666666664,13.833333333333334,13.5,42.0,44.0,150.33333333333334,63.66666666666666,60.66666666666667,45.333333333333336,15.5,5.5,0.0,67.08333333333333,172.41666666666666,0.0,22.0,22.0,0.0,0.0
5,SEA,4.5,1,842.0,1996.5,430.0,555.0,174.0,503.0,352.0,682.5,1034.5,531.0,633.5,257.0,471.0,144.5,2288.0,813.5,1928.5,438.0,589.0,123.5,389.5,329.5,675.5,1005.0,472.0,566.5,249.5,495.0,114.5,2188.5,33.0,11.5,5.0,6.0,10.5,10.5,12.0,6650.0,116315.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.5,15.5,0.0,1.0,279.1666666666667,165.16666666666666,644.7833333333333,2529.6666666666665,356.5,733.3333333333334,1089.8333333333333,521.6666666666666,253.66666666666663,146.0,458.1666666666666,623.1666666666666,2230.0,938.8333333333331,627.1666666666666,473.8333333333333,521.1666666666666,178.16666666666666,10.0,5.5,216.5,75.0,9.833333333333334,20.5,30.33333333333333,16.5,12.5,4.0,16.833333333333332,19.83333333333333,70.83333333333333,27.0,22.166666666666668,17.333333333333336,15.166666666666668,3.6666666666666665,0.0,72.6,168.3,0.0,18.0,15.0,0.0,1.0
6,HOU,4.0,1,813.0,1924.5,465.5,607.5,119.0,351.0,288.5,744.0,1032.5,458.0,522.5,236.5,467.0,118.0,2210.5,829.0,2019.0,358.0,489.5,160.5,467.0,316.5,714.0,1030.5,527.5,644.5,242.5,450.5,125.5,2176.5,34.0,11.5,5.5,5.0,12.0,10.5,12.5,6837.5,143829.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.5,17.5,0.0,1.0,325.0,241.0,817.7727272727273,3046.0,425.0,995.5,1420.5,701.5,337.5,138.0,603.0,700.0,2689.0,1135.0,839.5,641.0,394.5,135.0,11.0,8.5,314.0,116.0,18.5,34.5,53.0,20.5,15.5,6.0,18.5,25.0,103.0,41.0,35.0,28.5,21.0,5.5,0.0,71.63636363636364,157.27272727272728,1.0,16.5,17.5,0.5,1.0
